unique_id,country,site,condition,gender,age,ethnicity,diff_in_mean_ratings_direct,diff_in_mean_ratings_indirect,mean_rating_white_primes_direct,mean_rating_white_primes_indirect,mean_rating_black_primes_direct,mean_rating_black_primes_indirect
Genova1,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,0.16666666666666652,0.125,3,2.9583333333333335,2.8333333333333335,2.8333333333333335
Genova2,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,0.08333333333333348,0.4166666666666665,2.5833333333333335,2.7916666666666665,2.5,2.375
Genova3,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,0.08333333333333348,0,3.5833333333333335,4,3.5,4
Genova4,Italy,Genova,high social pressure,female,19,Caucasico/Europeo,-0.25,-0.3333333333333335,2.4166666666666665,2.75,2.6666666666666665,3.0833333333333335
Genova5,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,-0.33333333333333304,-0.4583333333333335,2.5833333333333335,2.375,2.9166666666666665,2.8333333333333335
Genova6,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,-0.75,0.08333333333333348,1.5,2.7083333333333335,2.25,2.625
Genova7,Italy,Genova,low social pressure,female,19,Caucasico/Europeo,-0.4166666666666665,-0.25,2.25,2.5,2.6666666666666665,2.75
Genova8,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,-0.16666666666666652,0.08333333333333348,2.8333333333333335,3.125,3,3.0416666666666665
Genova9,Italy,Genova,low social pressure,male,21,Caucasico/Europeo,-0.583333333333333,-0.2916666666666665,2.3333333333333335,2.625,2.9166666666666665,2.9166666666666665
Genova10,Italy,Genova,high social pressure,male,19,Caucasico/Europeo,0,0,3,3,3,3
Genova11,Italy,Genova,low social pressure,male,20,Caucasico/Europeo,0.08333333333333304,-0.16666666666666652,2.1666666666666665,2.4583333333333335,2.0833333333333335,2.625
Genova12,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,0.4166666666666665,-0.20833333333333348,2.5,2.6666666666666665,2.0833333333333335,2.875
Genova13,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,0,0.20833333333333348,2.1666666666666665,3.125,2.1666666666666665,2.9166666666666665
Genova14,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,-0.5,-0.5,2.25,2.2916666666666665,2.75,2.7916666666666665
Genova15,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,-0.8333333333333335,0.04166666666666696,2,2.5833333333333335,2.8333333333333335,2.5416666666666665
Genova16,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,-0.16666666666666696,0.33333333333333304,2.4166666666666665,2.7916666666666665,2.5833333333333335,2.4583333333333335
Genova17,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,-0.08333333333333348,-0.375,3.4166666666666665,3.3333333333333335,3.5,3.7083333333333335
Genova18,Italy,Genova,high social pressure,female,19,Caucasico/Europeo,-0.08333333333333348,-0.125,2.4166666666666665,2.5833333333333335,2.5,2.7083333333333335
Genova19,Italy,Genova,low social pressure,female,21,Caucasico/Europeo,-0.08333333333333348,0.16666666666666652,2.75,3.0416666666666665,2.8333333333333335,2.875
Genova20,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,0.16666666666666652,-0.4166666666666665,2.75,2.375,2.5833333333333335,2.7916666666666665
Genova21,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,0.3333333333333335,-0.375,2.8333333333333335,2.25,2.5,2.625
Genova22,Italy,Genova,high social pressure,female,21,Caucasico/Europeo,-1.2499999999999998,-0.5833333333333335,1.9166666666666667,2.5416666666666665,3.1666666666666665,3.125
Genova23,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,-0.6666666666666665,-0.375,2,2.2916666666666665,2.6666666666666665,2.6666666666666665
Genova24,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,0.6666666666666665,0.3333333333333335,2.4166666666666665,3.0833333333333335,1.75,2.75
Genova25,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,-0.08333333333333348,-0.7083333333333335,2.75,2.1666666666666665,2.8333333333333335,2.875
Genova26,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,-0.25,-0.16666666666666652,2.4166666666666665,2.375,2.6666666666666665,2.5416666666666665
Genova27,Italy,Genova,low social pressure,female,26,Caucasico/Europeo,0.08333333333333348,-0.04166666666666696,2.75,2.9166666666666665,2.6666666666666665,2.9583333333333335
Genova28,Italy,Genova,high social pressure,female,19,Caucasico/Europeo,-0.4166666666666665,-0.916666666666667,2.5,2.6666666666666665,2.9166666666666665,3.5833333333333335
Genova29,Italy,Genova,low social pressure,female,19,Caucasico/Europeo,0.5,0.20833333333333348,3.3333333333333335,3.125,2.8333333333333335,2.9166666666666665
Genova30,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,-0.3333333333333335,0.04166666666666652,2.6666666666666665,3.1666666666666665,3,3.125
Genova31,Italy,Genova,low social pressure,male,19,Caucasico/Europeo,-0.3333333333333335,-0.08333333333333304,1.75,2.4583333333333335,2.0833333333333335,2.5416666666666665
Genova32,Italy,Genova,high social pressure,female,25,Caucasico/Europeo,0.08333333333333348,-0.7083333333333333,2.3333333333333335,1.9166666666666667,2.25,2.625
Genova33,Italy,Genova,low social pressure,female,19,Caucasico/Europeo,0.4999999999999998,-0.04166666666666652,2.4166666666666665,2.25,1.9166666666666667,2.2916666666666665
Genova35,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,-0.16666666666666652,0,3.5833333333333335,3.4166666666666665,3.75,3.4166666666666665
Genova36,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,-0.25,0.16666666666666652,2.8333333333333335,3.0416666666666665,3.0833333333333335,2.875
Genova37,Italy,Genova,low social pressure,female,21,Caucasico/Europeo,0.16666666666666652,-0.08333333333333348,3.1666666666666665,2.875,3,2.9583333333333335
Genova38,Italy,Genova,high social pressure,male,19,Caucasico/Europeo,0.25,0.4166666666666665,2.4166666666666665,2.4166666666666665,2.1666666666666665,2
Genova39,Italy,Genova,low social pressure,male,24,Altro,-0.16666666666666652,-0.2916666666666665,2.75,3.0833333333333335,2.9166666666666665,3.375
Genova40,Italy,Genova,high social pressure,male,23,Caucasico/Europeo,0.16666666666666652,0.08333333333333348,2.5,2.4583333333333335,2.3333333333333335,2.375
Genova41,Italy,Genova,low social pressure,female,19,Caucasico/Europeo,-0.25,-0.20833333333333348,2.25,2.5416666666666665,2.5,2.75
Genova42,Italy,Genova,high social pressure,female,20,Caucasico/Europeo,-0.5,-0.5,2.1666666666666665,2.0833333333333335,2.6666666666666665,2.5833333333333335
Genova43,Italy,Genova,low social pressure,female,19,Caucasico/Europeo,0.08333333333333348,-0.08333333333333348,2.5,2.5416666666666665,2.4166666666666665,2.625
Genova44,Italy,Genova,high social pressure,female,19,Caucasico/Europeo,0.4166666666666665,0.25,3.1666666666666665,3,2.75,2.75
Genova45,Italy,Genova,low social pressure,female,19,Caucasico/Europeo,-0.16666666666666696,0.20833333333333304,2.1666666666666665,2.6666666666666665,2.3333333333333335,2.4583333333333335
Genova46,Italy,Genova,high social pressure,male,21,Caucasico/Europeo,0.3333333333333335,0.04166666666666652,2.0833333333333335,2.875,1.75,2.8333333333333335
Genova47,Italy,Genova,low social pressure,female,23,Caucasico/Europeo,-0.08333333333333348,-0.25,1.8333333333333333,2.75,1.9166666666666667,3
Genova48,Italy,Genova,high social pressure,male,22,Caucasico/Europeo,0,-0.04166666666666696,2.9166666666666665,2.9166666666666665,2.9166666666666665,2.9583333333333335
Genova49,Italy,Genova,low social pressure,female,20,Caucasico/Europeo,0.4166666666666665,-0.16666666666666696,2.5,2.4166666666666665,2.0833333333333335,2.5833333333333335
Genova50,Italy,Genova,high social pressure,female,21,Caucasico/Europeo,-0.4166666666666665,0,2.5,3.125,2.9166666666666665,3.125
Genova51,Italy,Genova,low social pressure,female,21,Caucasico/Europeo,-0.16666666666666652,-0.3333333333333335,2.75,2.4166666666666665,2.9166666666666665,2.75
Genova52,Italy,Genova,high social pressure,female,19,Caucasico/Europeo,-0.16666666666666696,-0.125,2.4166666666666665,2.0833333333333335,2.5833333333333335,2.2083333333333335
